LMK_KEY,IMPROVEMENT_ID,IMPROVEMENT_SUMMARY_TEXT,IMPROVEMENT_DESCR_TEXT,INDICATIVE_COST
Sheffield_69,6,Wall Insulation,Cavity Wall Insulation,"£500 - £1,500"
Sheffield_70,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Sheffield_72,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Sheffield_72,6,Wall Insulation,Cavity Wall Insulation,"£500 - £1,500"
Sheffield_74,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Sheffield_75,6,Wall Insulation,Cavity Wall Insulation,"£500 - £1,500"
Sheffield_76,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Sheffield_78,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Sheffield_78,6,Wall Insulation,Cavity Wall Insulation,"£500 - £1,500"
Sheffield_80,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Sheffield_81,6,Wall Insulation,Cavity Wall Insulation,"£500 - £1,500"
Sheffield_82,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Sheffield_84,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Sheffield_84,6,Wall Insulation,Cavity Wall Insulation,"£500 - £1,500"
Sheffield_86,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Sheffield_87,6,Wall Insulation,Cavity Wall Insulation,"£500 - £1,500"
Sheffield_88,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Sheffield_90,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Sheffield_90,6,Wall Insulation,Cavity Wall Insulation,"£500 - £1,500"
Sheffield_92,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Sheffield_93,6,Wall Insulation,Cavity Wall Insulation,"£500 - £1,500"
Sheffield_94,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Sheffield_96,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Sheffield_96,6,Wall Insulation,Cavity Wall Insulation,"£500 - £1,500"
Sheffield_98,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Sheffield_99,6,Wall Insulation,Cavity Wall Insulation,"£500 - £1,500"
