LMK_KEY,IMPROVEMENT_ID,IMPROVEMENT_SUMMARY_TEXT,IMPROVEMENT_DESCR_TEXT,INDICATIVE_COST
Liverpool_78,6,Wall Insulation,Cavity Wall Insulation,"£500 - £1,500"
Liverpool_80,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Liverpool_81,6,Wall Insulation,Cavity Wall Insulation,"£500 - £1,500"
Liverpool_82,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Liverpool_84,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Liverpool_84,6,Wall Insulation,Cavity Wall Insulation,"£500 - £1,500"
Liverpool_86,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Liverpool_87,6,Wall Insulation,Cavity Wall Insulation,"£500 - £1,500"
Liverpool_88,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Liverpool_90,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Liverpool_90,6,Wall Insulation,Cavity Wall Insulation,"£500 - £1,500"
Liverpool_92,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Liverpool_93,6,Wall Insulation,Cavity Wall Insulation,"£500 - £1,500"
Liverpool_94,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Liverpool_96,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Liverpool_96,6,Wall Insulation,Cavity Wall Insulation,"£500 - £1,500"
Liverpool_98,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Liverpool_99,6,Wall Insulation,Cavity Wall Insulation,"£500 - £1,500"
