LMK_KEY,IMPROVEMENT_ID,IMPROVEMENT_SUMMARY_TEXT,IMPROVEMENT_DESCR_TEXT,INDICATIVE_COST
Cambridge_64,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Cambridge_66,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Cambridge_66,6,Wall Insulation,Cavity Wall Insulation,"£500 - £1,500"
Cambridge_68,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Cambridge_69,6,Wall Insulation,Cavity Wall Insulation,"£500 - £1,500"
Cambridge_70,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Cambridge_72,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Cambridge_72,6,Wall Insulation,Cavity Wall Insulation,"£500 - £1,500"
Cambridge_74,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Cambridge_75,6,Wall Insulation,Cavity Wall Insulation,"£500 - £1,500"
Cambridge_76,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Cambridge_78,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Cambridge_78,6,Wall Insulation,Cavity Wall Insulation,"£500 - £1,500"
Cambridge_80,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Cambridge_81,6,Wall Insulation,Cavity Wall Insulation,"£500 - £1,500"
Cambridge_82,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Cambridge_84,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Cambridge_84,6,Wall Insulation,Cavity Wall Insulation,"£500 - £1,500"
Cambridge_86,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Cambridge_87,6,Wall Insulation,Cavity Wall Insulation,"£500 - £1,500"
Cambridge_88,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Cambridge_90,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Cambridge_90,6,Wall Insulation,Cavity Wall Insulation,"£500 - £1,500"
Cambridge_92,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Cambridge_93,6,Wall Insulation,Cavity Wall Insulation,"£500 - £1,500"
Cambridge_94,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Cambridge_96,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Cambridge_96,6,Wall Insulation,Cavity Wall Insulation,"£500 - £1,500"
Cambridge_98,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Cambridge_99,6,Wall Insulation,Cavity Wall Insulation,"£500 - £1,500"
