LMK_KEY,IMPROVEMENT_ID,IMPROVEMENT_SUMMARY_TEXT,IMPROVEMENT_DESCR_TEXT,INDICATIVE_COST
Boston_72,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Boston_72,6,Wall Insulation,Cavity Wall Insulation,"£500 - £1,500"
Boston_74,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Boston_75,6,Wall Insulation,Cavity Wall Insulation,"£500 - £1,500"
Boston_76,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Boston_78,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Boston_78,6,Wall Insulation,Cavity Wall Insulation,"£500 - £1,500"
Boston_80,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Boston_81,6,Wall Insulation,Cavity Wall Insulation,"£500 - £1,500"
Boston_82,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Boston_84,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Boston_84,6,Wall Insulation,Cavity Wall Insulation,"£500 - £1,500"
Boston_86,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Boston_87,6,Wall Insulation,Cavity Wall Insulation,"£500 - £1,500"
Boston_88,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Boston_90,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Boston_90,6,Wall Insulation,Cavity Wall Insulation,"£500 - £1,500"
Boston_92,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Boston_93,6,Wall Insulation,Cavity Wall Insulation,"£500 - £1,500"
Boston_94,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Boston_96,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Boston_96,6,Wall Insulation,Cavity Wall Insulation,"£500 - £1,500"
Boston_98,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Boston_99,6,Wall Insulation,Cavity Wall Insulation,"£500 - £1,500"
